Station,Date(NZST),Pmsl(hPa),Pstn(hPa),tend,amt(hPa),a24(hPa)
41212,1/01/2020 9:00,1015.2,1014.8,-,-,-
41212,1/01/2020 10:00,1014.8,1014.4,-,-,-
41212,1/01/2020 11:00,1014.8,1014.4,-,-,-
41212,1/01/2020 12:00,1014.9,1014.5,-,-,-
41212,1/01/2020 13:00,1014.3,1013.9,-,-,-
41212,1/01/2020 14:00,1014.4,1014,-,-,-
41212,1/01/2020 15:00,1014.1,1013.7,-,-,-
41212,1/01/2020 16:00,1014.2,1013.8,-,-,-
41212,1/01/2020 17:00,1014.1,1013.7,-,-,-
41212,1/01/2020 18:00,1013.9,1013.5,-,-,-
41212,1/01/2020 19:00,1014.3,1013.9,-,-,-
41212,1/01/2020 20:00,1014.6,1014.2,-,-,-
41212,1/01/2020 21:00,1015.3,1014.9,-,-,-
41212,1/01/2020 22:00,1015.1,1014.7,-,-,-
41212,1/01/2020 23:00,1014.7,1014.3,-,-,-
41212,2/01/2020 0:00,1014.3,1013.9,-,-,-
41212,2/01/2020 1:00,1014,1013.6,-,-,-
41212,2/01/2020 2:00,1013,1012.6,-,-,-
41212,2/01/2020 3:00,1012.5,1012.1,-,-,-
41212,2/01/2020 8:00,1011.3,1010.9,-,-,-
41212,2/01/2020 9:00,1010.6,1010.2,-,-,-
41212,2/01/2020 10:00,1010.5,1010.1,-,-,-
41212,2/01/2020 11:00,1010.3,1009.9,-,-,-
41212,2/01/2020 12:00,1009.5,1009.1,-,-,-
41212,2/01/2020 13:00,1009,1008.6,-,-,-
41212,2/01/2020 14:00,1008.9,1008.5,-,-,-
41212,2/01/2020 15:00,1008.1,1007.7,-,-,-
41212,2/01/2020 16:00,1007.3,1006.9,-,-,-
41212,2/01/2020 17:00,1006.5,1006.1,-,-,-
41212,2/01/2020 18:00,1005.8,1005.4,-,-,-
41212,2/01/2020 19:00,1005.4,1005,-,-,-
41212,2/01/2020 20:00,1005.2,1004.8,-,-,-
