Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
41212,1/01/2020 0:00,6,8.9,7,1.2,1,H
41212,1/01/2020 1:00,10,9.4,7,1.5,1,H
41212,1/01/2020 2:00,9,10,6,1.6,1,H
41212,1/01/2020 3:00,5,9.2,8,1.6,1,H
41212,1/01/2020 4:00,359,9.7,15,1.5,1,H
41212,1/01/2020 5:00,353,10.2,18,2,1,H
41212,1/01/2020 6:00,356,10.6,13,2.2,1,H
41212,1/01/2020 7:00,1,10.2,13,2,1,H
41212,1/01/2020 8:00,1,10.4,12,2.1,1,H
41212,1/01/2020 9:00,359,11.6,11,2,1,H
41212,1/01/2020 10:00,2,12,14,2.2,1,H
41212,1/01/2020 11:00,355,10.8,14,2.1,1,H
41212,1/01/2020 12:00,3,10.5,10,2.2,1,H
41212,1/01/2020 13:00,5,12.7,13,2.4,1,H
41212,1/01/2020 14:00,1,11.2,10,1.9,1,H
41212,1/01/2020 15:00,5,11.6,8,1.9,1,H
41212,1/01/2020 16:00,7,11.5,11,2,1,H
41212,1/01/2020 17:00,5,11.5,11,2,1,H
41212,1/01/2020 18:00,7,10.3,7,1.9,1,H
41212,1/01/2020 19:00,4,10.2,7,1.7,1,H
41212,1/01/2020 20:00,5,9.3,9,1.8,1,H
41212,1/01/2020 21:00,2,9.2,11,1.7,1,H
41212,1/01/2020 22:00,5,9.2,12,1.5,1,H
41212,1/01/2020 23:00,6,8.8,9,1.3,1,H
41212,2/01/2020 0:00,19,7.4,6,1.2,1,H
41212,2/01/2020 1:00,8,7,6,1.2,1,H
41212,2/01/2020 2:00,13,7,5,1.1,1,H
41212,2/01/2020 3:00,6,7.1,8,1.3,1,H
41212,2/01/2020 4:00,17,6.8,5,1.2,1,H
41212,2/01/2020 5:00,5,7.5,8,1.8,1,H
41212,2/01/2020 6:00,12,8.4,11,1.6,1,H
41212,2/01/2020 7:00,359,8.6,12,1.8,1,H
41212,2/01/2020 8:00,3,10.6,13,1.8,1,H
41212,2/01/2020 9:00,2,10.3,11,1.9,1,H
41212,2/01/2020 10:00,9,11.7,11,2,1,H
41212,2/01/2020 11:00,3,12.1,13,2.2,1,H
41212,2/01/2020 12:00,6,13,13,2,1,H
41212,2/01/2020 13:00,6,12.4,11,1.9,1,H
41212,2/01/2020 14:00,8,11.2,9,2,1,H
41212,2/01/2020 15:00,12,11.5,8,2,1,H
41212,2/01/2020 16:00,13,10.6,9,1.8,1,H
41212,2/01/2020 17:00,12,8.2,9,1.6,1,H
41212,2/01/2020 18:00,2,7.8,12,1.5,1,H
41212,2/01/2020 19:00,5,7.6,11,1.4,1,H
41212,2/01/2020 20:00,356,9.6,13,2.3,1,H
41212,2/01/2020 21:00,355,10.8,14,2,1,H
41212,2/01/2020 22:00,359,10.4,14,2.6,1,H
41212,2/01/2020 23:00,358,7.6,9,1.6,1,H
41212,3/01/2020 0:00,358,6,11,1.5,1,H
41212,3/01/2020 1:00,16,5.2,10,1.1,1,H
